00:00 - 01:00,0,,n/e,n/e,n/e,n/e,85,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,112,,2285,,9804,,n/e,n/e,n/e,n/e,0,,64,,n/e,n/e,32,,n/e,n/e,1075,
01:00 - 02:00,0,,n/e,n/e,n/e,n/e,85,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,106,,2251,,9836,,n/e,n/e,n/e,n/e,0,,65,,n/e,n/e,35,,n/e,n/e,966,
02:00 - 03:00,0,,n/e,n/e,n/e,n/e,84,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,109,,2259,,10141,,n/e,n/e,n/e,n/e,0,,62,,n/e,n/e,34,,n/e,n/e,815,
03:00 - 04:00,0,,n/e,n/e,n/e,n/e,85,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,111,,2258,,9269,,n/e,n/e,n/e,n/e,0,,64,,n/e,n/e,33,,n/e,n/e,706,
04:00 - 05:00,0,,n/e,n/e,n/e,n/e,84,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,100,,2246,,9031,,n/e,n/e,n/e,n/e,0,,59,,n/e,n/e,32,,n/e,n/e,660,
05:00 - 06:00,0,,n/e,n/e,n/e,n/e,85,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,104,,2233,,9195,,n/e,n/e,n/e,n/e,0,,63,,n/e,n/e,32,,n/e,n/e,662,
06:00 - 07:00,0,,n/e,n/e,n/e,n/e,84,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,127,,2219,,9138,,n/e,n/e,n/e,n/e,0,,60,,n/e,n/e,32,,n/e,n/e,719,
07:00 - 08:00,0,,n/e,n/e,n/e,n/e,84,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,135,,2239,,9050,,n/e,n/e,n/e,n/e,0,,52,,n/e,n/e,28,,n/e,n/e,901,
08:00 - 09:00,0,,n/e,n/e,n/e,n/e,85,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,140,,2249,,9361,,n/e,n/e,n/e,n/e,0,,48,,n/e,n/e,31,,n/e,n/e,1146,
09:00 - 10:00,0,,n/e,n/e,n/e,n/e,84,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,143,,2266,,9692,,n/e,n/e,n/e,n/e,0,,48,,n/e,n/e,35,,n/e,n/e,1603,
