"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OWVM000355S","Offshore-Windpark Veja Mate","402","402","Nordsee","155","01.01.2017",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OBA1000349Z","Bard Offshore 1","400","400","intra_zonal","380","10.04.2017",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2SUE2000103B","Sued GuD2","400","400","intra_zonal","110","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OGTI000264J","Global Tech I","400","400","Nordsee AWZ","380","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0095-9","Merkur Offshore GmbH","396","396","intra_zonal","110","26.05.2020",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2NO2K000308Z","Nord 2","373","373","intra_zonal","110","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2FARK000287K","Kraftwerk Farge","350","350","intra_zonal","380","21.12.2010",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0029-P","Windpark Nordsee One","332","332","intra_zonal","155","13.06.2017",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OGW1000346F","Gode Wind I","332","332","intra_zonal","155","20.07.2016",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2HUKW000298J","Huntorf","321","321","intra_zonal","220","26.10.2009",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OBR1000278R","Borkum Riffgrund I","312","312","intra_zonal","155","24.05.2015",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OAMK000342L","Amrumbank West","301","301","intra_zonal","400","29.11.2015",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Pumped Storage","11WD2KUET000160J","KW Kühtai","289","289","intra_zonal","220","23.09.2010",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OWS0000352F","Sandbank","288","288","intra_zonal","380","24.10.2016",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0279-W","Windpark Butendiek","288","288","intra_zonal","155","17.12.2020",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OWME000351X","OWP Meerwind Süd|Ost","288","288","intra_zonal","380","14.08.2019",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2ONSO000218S","Offshore Windpark","288","288","intra_zonal","155","17.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2ODTK000336Y","DanTysk","288","288","intra_zonal","380","17.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2WBWK000317H","HKW West","277","277","intra_zonal","110","14.06.2011",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2FFW-000203E","HKW West","273","273","intra_zonal","110","30.09.2012",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2HANN5C----0","GKW Hannover (GKH)","272","272","intra_zonal","110","04.04.2011",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OGW20003378","Gode Wind II","252","252","intra_zonal","155","15.12.2015",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0171-O","Deutsche Bucht","252","252","intra_zonal","155","07.02.2020",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2LIND5G----6","GKW Linden (GKL)","230","230","intra_zonal","110","04.04.2011",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2BHAS000271O","KW Hastedt","119","225","intra_zonal","110","01.06.2012",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Pumped Storage","11WD2ERZH0002682","PSW Erzhausen","220","220","intra_zonal","220","15.09.2010",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2OTWB000266P","Windpark Trianel Borkum West","200","200","Nordsee","380","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0261-N","Trianel Windpark Borkum II","N/A","200","intra_zonal","155","01.01.2024",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11W0-0000-0162-P","Küstenkraftwerk","190","190","intra_zonal","110","16.12.2019",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2SRKW000345J","HKW-Nürnberg-Sandreuth","181","181","intra_zonal","110","11.11.2010",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2BMIT0002731","KW Mittelsbueren","176","176","intra_zonal","110","01.06.2012",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0512-P","Kaskasi 1","N/A","171","intra_zonal","380","01.09.2022",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0513-M","Kaskasi 2","N/A","171","intra_zonal","380","01.09.2022",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11W0-0000-0414-O","GuD Sued","N/A","136","intra_zonal","110","02.05.2022",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","11WD2ITOK0002212","Töging","N/A","132","intra_zonal","110","09.04.2022",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2WBNK000318M","HKW Nord","123","123","intra_zonal","110","15.04.2015",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2BUKW000310A","Burghausen_GT","120","120","intra_zonal","110","28.09.2012",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2PLAT000267Z","Kraftwerk Plattling","120","120","intra_zonal","110","20.11.2017",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11WD2ORG-000347Q","Offshore-Windpark RIFFGAT","113","113","Nordsee","155","31.12.2014",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0170-R","Windpark Albatros","112","112","intra_zonal","380","15.12.2019",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2FREI000095T","HKW Freimann","110","110","intra_zonal","110","18.03.2020",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Offshore","11W0-0000-0212-3","OWP Nordergründe GmbH","108","108","intra_zonal","110","26.05.2020",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2HERR5GKW--1","KW Herrenhausen (KWH)","100","100","intra_zonal","110","04.04.2011",""
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Nuclear","11WD2ISKW000299Q","Isar 2","1410","N/A","intra_zonal","380","26.10.2009","16.04.2023"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Nuclear","11WD2BRKW000294C","Brokdorf","1410","N/A","intra_zonal","380","26.10.2009","01.01.2022"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Nuclear","11WD2GHKW000296G","Grohnde","1360","N/A","intra_zonal","380","26.10.2009","01.01.2022"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","11WD2STAU0001800","Staudinger","1132","N/A","intra_zonal","380","26.10.2009","01.04.2024"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2HEKW000297X","Heyden","875","N/A","intra_zonal","380","26.10.2009","01.04.2024"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Oil","11WD2INGO0001783","Ingolstadt","772","N/A","intra_zonal","220","26.10.2009","22.06.2021"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2WI1K000303F","Wilhelmshaven","757","N/A","intra_zonal","220","26.10.2009","08.12.2021"
"CTA|DE(TenneT GER) / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","11WD2BHAF000272F","KW Hafen","300","N/A","intra_zonal","110","01.06.2012","08.07.2021"
