Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,8981,8981,8985,8974,9229,8209,8256,n/e,n/e,n/e
Fossil_Hard_coal,16714,15365,11611,11427,8794,7294,5755,n/e,n/e,n/e
Wind_Onshore,8420,9138,10800,13139,13633,13830,13932,n/e,n/e,n/e
Fossil_Brown_coal-Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Run-of-river_and_poundage,1570,1540,1525,1758,1885,1882,1919,n/e,n/e,n/e
Hydro_Water_Reservoir,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind_Offshore,5041,5011,5471,6071,9379,10365,12160,n/e,n/e,n/e
Hydro_Pumped_Storage,2744,2744,2744,2744,2744,4052,4309,n/e,n/e,n/e
Other_renewable,1573,1817,2104,3132,1873,2249,1900,n/e,n/e,n/e
Solar,,,,12563,13438,13368,13470,n/e,n/e,n/e
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Gas,30287,27241,29237,28755,37698,39823,41371,n/e,n/e,n/e
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,566,1108,1075,316,316,316,316,n/e,n/e,n/e
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,5131,4617,6222,8470,4506,4074,3004,n/e,n/e,n/e
Biomass,2124,1890,2119,2099,4061,4237,4528,n/e,n/e,n/e
Total_Grand_capacity,83151,79452,81893,99448,107556,109699,110920,n/e,n/e,n/e
