,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,IM_S03TVZZUP_115980_31571,550.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UP_TAVAZZANO_8,300.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UP_MONTALTO_4,300.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TROIA_STO,200.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_MONTALTO_2,145.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_1315094UP_PNDLLMRINA_1,135.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_S09VSLLUP_VALLE_SEC_1,114.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_LARINO,110.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_MONTALTO_1,100.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_ROSSANO,100.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_OTTANA,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_SULCIS,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_1315094UP_OEEPSNL_31844,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIGFISH,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_PORTOSCUSO,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_TRINO_2,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_QUARTUCCIU,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_UDINE_SUD,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_CODRONGIANOS_2,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FS7_CCGT_UP_OEEPSNL_31611,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BESS_PIETRAFITTA,0.0,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAN_QUIRICO_UP_OEESDSN_31880,0.0,1.0,LT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCGT_MONFALCONE,0.0,1.0,LT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCGT_SAN_FILIPPO,0.0,1.0,LT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_S05FTSNUP_FUSINA_T_4,,1.0,LT,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_S05FTSNUP_FUSINA_T_3,,1.0,LT,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_S19TCRMUP_TERMINI_I_4,,1.0,LT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_S08ERNPUP_NPWRRVENNA_9,,1.0,LT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_S19TCRMUP_TERMINI_I_42,,1.0,LT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IM_S19TCRMUP_TERMINI_I_5,,1.0,LT,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
