end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-01-11 17:00:00+00:00,Amercoeur 1 R TGV,2023-01-10 23:00:00+00:00,0.0,451.0,451.0,0.0
2023-01-16 11:00:00+00:00,Amercoeur 1 R TGV,2023-01-16 10:45:00+00:00,0.0,451.0,451.0,0.0
2023-01-16 16:00:00+00:00,Amercoeur 1 R TGV,2023-01-16 11:00:00+00:00,0.0,451.0,451.0,0.0
2023-01-16 16:15:00+00:00,Amercoeur 1 R TGV,2023-01-16 16:00:00+00:00,0.0,451.0,451.0,0.0
2023-01-16 16:30:00+00:00,Amercoeur 1 R TGV,2023-01-16 16:15:00+00:00,0.0,451.0,451.0,0.0
2023-01-16 20:00:00+00:00,Amercoeur 1 R TGV,2023-01-16 19:30:00+00:00,200.0,451.0,451.0,0.4434589800443459
2023-01-16 21:00:00+00:00,Amercoeur 1 R TGV,2023-01-16 20:00:00+00:00,200.0,451.0,451.0,0.4434589800443459
2023-01-22 14:30:00+00:00,Amercoeur 1 R TGV,2023-01-22 14:15:00+00:00,0.0,451.0,451.0,0.0
2023-01-22 15:00:00+00:00,Amercoeur 1 R TGV,2023-01-22 14:30:00+00:00,0.0,451.0,451.0,0.0
2023-01-22 18:00:00+00:00,Amercoeur 1 R TGV,2023-01-22 15:00:00+00:00,0.0,451.0,451.0,0.0
2023-01-22 18:15:00+00:00,Amercoeur 1 R TGV,2023-01-22 18:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-10 15:00:00+00:00,Amercoeur 1 R TGV,2023-03-04 06:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-10 15:45:00+00:00,Amercoeur 1 R TGV,2023-03-10 15:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-10 16:00:00+00:00,Amercoeur 1 R TGV,2023-03-10 15:45:00+00:00,0.0,451.0,451.0,0.0
2023-03-11 14:45:00+00:00,Amercoeur 1 R TGV,2023-03-11 14:45:00+00:00,0.0,451.0,451.0,0.0
2023-03-11 15:00:00+00:00,Amercoeur 1 R TGV,2023-03-11 14:45:00+00:00,0.0,451.0,451.0,0.0
2023-03-11 16:00:00+00:00,Amercoeur 1 R TGV,2023-03-11 15:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-11 16:15:00+00:00,Amercoeur 1 R TGV,2023-03-11 16:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-11 16:15:00+00:00,Amercoeur 1 R TGV,2023-03-11 16:15:00+00:00,0.0,451.0,451.0,0.0
2023-03-13 21:45:00+00:00,Amercoeur 1 R TGV,2023-03-13 20:30:00+00:00,0.0,451.0,451.0,0.0
2023-03-13 21:45:00+00:00,Amercoeur 1 R TGV,2023-03-13 21:45:00+00:00,0.0,451.0,451.0,0.0
2023-03-14 00:00:00+00:00,Amercoeur 1 R TGV,2023-03-13 23:45:00+00:00,0.0,451.0,451.0,0.0
2023-03-14 01:00:00+00:00,Amercoeur 1 R TGV,2023-03-14 00:00:00+00:00,110.0,451.0,451.0,0.24390243902439024
2023-03-14 01:30:00+00:00,Amercoeur 1 R TGV,2023-03-14 01:00:00+00:00,110.0,451.0,451.0,0.24390243902439024
2023-03-14 02:00:00+00:00,Amercoeur 1 R TGV,2023-03-14 01:30:00+00:00,0.0,451.0,451.0,0.0
2023-03-14 06:00:00+00:00,Amercoeur 1 R TGV,2023-03-14 02:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-14 06:45:00+00:00,Amercoeur 1 R TGV,2023-03-14 06:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-14 06:45:00+00:00,Amercoeur 1 R TGV,2023-03-14 06:45:00+00:00,0.0,451.0,451.0,0.0
2023-03-16 23:00:00+00:00,Amercoeur 1 R TGV,2023-03-16 22:15:00+00:00,0.0,451.0,451.0,0.0
2023-03-16 22:15:00+00:00,Amercoeur 1 R TGV,2023-03-16 22:15:00+00:00,0.0,451.0,451.0,0.0
2023-03-17 00:00:00+00:00,Amercoeur 1 R TGV,2023-03-16 23:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-17 00:45:00+00:00,Amercoeur 1 R TGV,2023-03-17 00:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-17 01:00:00+00:00,Amercoeur 1 R TGV,2023-03-17 00:45:00+00:00,0.0,451.0,451.0,0.0
2023-03-19 16:00:00+00:00,Amercoeur 1 R TGV,2023-03-19 15:00:00+00:00,120.0,451.0,451.0,0.2660753880266075
2023-03-19 16:30:00+00:00,Amercoeur 1 R TGV,2023-03-19 16:00:00+00:00,120.0,451.0,451.0,0.2660753880266075
2023-03-19 16:45:00+00:00,Amercoeur 1 R TGV,2023-03-19 16:30:00+00:00,120.0,451.0,451.0,0.2660753880266075
2023-03-25 12:00:00+00:00,Amercoeur 1 R TGV,2023-03-22 13:00:00+00:00,0.0,451.0,451.0,0.0
2023-03-22 13:00:00+00:00,Amercoeur 1 R TGV,2023-03-22 13:00:00+00:00,0.0,451.0,451.0,0.0
